car_make,car_model,year,condition,mileage,price
Toyota,RAV4,2017,used,50000,17000
Honda,CR-V,2018,used,45000,19000
Ford,Escape,2019,new,15000,23000
Chevrolet,Equinox,2016,used,60000,15000
Nissan,Rogue,2017,used,55000,16000
BMW,X3,2018,used,40000,28000
Audi,Q5,2019,new,20000,38000
Mercedes-Benz,GLC,2018,used,35000,35000
Lexus,RX,2017,used,50000,30000
Hyundai,Tucson,2018,used,42000,18000
Kia,Sportage,2019,new,18000,22000
Toyota,Highlander,2017,used,55000,25000
Honda,Pilot,2016,used,65000,22000
Ford,Explorer,2019,new,25000,35000
Chevrolet,Traverse,2018,used,40000,28000
Nissan,Pathfinder,2017,used,48000,21000
BMW,X5,2016,used,60000,32000
Audi,Q7,2018,used,45000,40000
Mercedes-Benz,GLE,2017,used,55000,38000
Lexus,GX,2019,new,20000,50000
Hyundai,Santa Fe,2018,used,40000,22000
Kia,Sorento,2017,used,45000,20000
Toyota,4Runner,2019,new,15000,35000
Honda,HR-V,2018,used,30000,17000
Ford,Edge,2017,used,48000,19000
Chevrolet,Blazer,2019,new,10000,28000
Nissan,Murano,2018,used,35000,23000
BMW,X1,2017,used,40000,25000
Audi,Q3,2016,used,55000,20000
Mercedes-Benz,GLA,2018,used,32000,28000
Lexus,NX,2017,used,45000,30000
Hyundai,Kona,2019,new,15000,22000
Kia,Niro,2018,used,38000,20000
Toyota,C-HR,2017,used,40000,18000
Honda,Fit,2019,new,15000,19000
Ford,EcoSport,2018,used,30000,15000
Chevrolet,Trax,2017,used,35000,16000
Nissan,Kicks,2018,used,32000,17000
BMW,i3,2019,new,10000,30000
Audi,A3,2018,used,28000,22000
Mercedes-Benz,A-Class,2017,used,35000,25000
Lexus,CT,2016,used,45000,18000
Hyundai,Accent,2019,new,15000,14000
Kia,Rio,2018,used,32000,12000
Toyota,Yaris,2017,used,30000,11000
Honda,Civic,2019,new,10000,20000
Ford,Fiesta,2018,used,28000,10000
Chevrolet,Sonic,2017,used,32000,9000
Nissan,Versa,2019,new,15000,13000
BMW,2 Series,2018,used,22000,25000
Audi,A4,2017,used,25000,28000
Mercedes-Benz,C-Class,2019,new,10000,35000
Lexus,ES,2018,used,30000,32000
Hyundai,Sonata,2017,used,35000,18000
Kia,Optima,2019,new,15000,22000
Toyota,Camry,2018,used,28000,24000
Honda,Accord,2017,used,32000,22000
